"ID","PARENT_ID","URI","FILE_PATH","NAME","METHOD","STATUS","SIZE","TYPE","EXT","LAST_MODIFIED","EXTENSION_MISMATCH","HASH","FORMAT_COUNT","PUID","MIME_TYPE","FORMAT_NAME","FORMAT_VERSION"
"470","364","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/VS%20+%20RM/VS_4min_track2.txt","","VS_4min_track2.txt","Extension","Done","1876229","File","txt","2019-11-25T16:10:22","false","","1","x-fmt/111","text/plain","Plain Text File",""
"484","364","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/VS%20+%20RM/VS_4min_track3.txt","","VS_4min_track3.txt","Extension","Done","1871362","File","txt","2019-11-25T16:27:48","false","","1","x-fmt/111","text/plain","Plain Text File",""
"503","364","sevenz:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/VS%20+%20RM/VS_4min_track4.txt","","VS_4min_track4.txt","Extension","Done","1876140","File","txt","2019-11-25T17:01:44","false","","1","x-fmt/111","text/plain","Plain Text File",""
"46","31","tar:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/2%20min/","","2 min","","Done","","Folder","","2019-09-13T12:34:24","false","","","","","",""
"126","31","tar:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/30%20s/","","30 s","","Done","","Folder","","2019-12-05T16:16:32","false","","","","","",""
"198","31","tar:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/4%20min/","","4 min","","Done","","Folder","","2019-08-09T13:47:46","false","","","","","",""
"254","31","tar:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/5%20s/","","5 s","","Done","","Folder","","2019-11-19T15:36:32","false","","","","","",""
"313","31","tar:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/6%20min/","","6 min","","Done","","Folder","","2019-08-16T13:22:56","false","","","","","",""
"364","31","tar:file:///D:/zu%20untersuchende%20Dateien/Raw-data_tribometer.7z!/VS%20+%20RM/","","VS + RM","","Done","","Folder","","2019-11-26T17:10:06","false","","","","","",""
"4599","18","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/JSSS_evaluate_holocut_interferometer.py","","JSSS_evaluate_holocut_interferometer.py","Extension","Done","6958","File","py","2020-01-29T13:13:18","false","","1","fmt/938","","Python Source Code File",""
"19","18","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/","","a_1210 - HC z - 1515fps","","Done","","Folder","","","false","","","","","",""
"20","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0000.bmp","","1515.0000.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"21","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0001.bmp","","1515.0001.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"22","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0002.bmp","","1515.0002.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"23","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0003.bmp","","1515.0003.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"24","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0004.bmp","","1515.0004.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"25","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0005.bmp","","1515.0005.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"28","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0006.bmp","","1515.0006.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"29","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0007.bmp","","1515.0007.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"30","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0008.bmp","","1515.0008.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"33","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0009.bmp","","1515.0009.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"34","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0010.bmp","","1515.0010.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
"35","19","zip:file:///D:/zu%20untersuchende%20Dateien/Figure%205.zip!/a_1210%20-%20HC%20z%20-%201515fps/1515.0011.bmp","","1515.0011.bmp","Signature","Done","66870","File","bmp","2019-01-19T12:10:18","false","","1","fmt/116","image/bmp","Windows Bitmap","3.0"
